code,name,name2,Province,GEOGPRV2
AB,Alberta,Alberta, ALBERTA ,48
BC,British Columbia,British Columbia, BRITISH COLUMBIA ,59
MB,Manitoba,Manitoba, MANITOBA ,46
NB,New Brunswick,New Brunswick, NEW BRUNSWICK ,13
NL,Newfoundland and Labrador,NFLD & LAB, NFLD & LAB. ,10
NS,Nova Scotia,Nova Scotia, NOVA SCOTIA ,12
ON,Ontario,Ontario, ONTARIO ,35
PE,Prince Edward Island,Prince Edward I., PEI ,11
QC,Quebec,Quebec, QUEBEC ,24
SK,Saskatchewan,Saskatchewan, SASKATCHEWAN ,47
YT/NT/NU,YUKON/NWT/NUNA,YUKON/NWT/NUNA, YUKON/NWT/NUNA. ,60
