VARIABLE,VALUE,LABEL
GEOGPRV,10, NFLD & LAB. 
GEOGPRV,11, PEI 
GEOGPRV,12, NOVA SCOTIA 
GEOGPRV,13, NEW BRUNSWICK 
GEOGPRV,24, QUEBEC 
GEOGPRV,35, ONTARIO 
GEOGPRV,46, MANITOBA 
GEOGPRV,47, SASKATCHEWAN 
GEOGPRV,48, ALBERTA 
GEOGPRV,59, BRITISH COLUMBIA 
GEOGPRV,60, YUKON/NWT/NUNA. 
GEOGPRV,96, NOT APPLICABLE 
GEOGPRV,97, DON'T KNOW 
GEOGPRV,98, REFUSAL 
GEOGPRV,99, NOT STATED 
GEODPMF,10911, EASTERN REGIO HA 
GEODPMF,10912, CENTRAL REGIO HA 
GEODPMF,10913, WESTERN/LABR 
GEODPMF,11901, PEI 
GEODPMF,12901," ZONE 1 (DHA 1,2) "
GEODPMF,12902, ZONE 2 (DHA 3) 
GEODPMF,12903," ZONE 1 (DHA 4,5) "
GEODPMF,12904," ZONE 1 (DHA 6,7) "
GEODPMF,12905, ZONE 5 (DHA 8) 
GEODPMF,12906, ZONE 6 (DHA 9) 
GEODPMF,12910, SOUTH WEST NOVA 
GEODPMF,12923, V. DISTRICT H. 
GEODPMF,12930, COLCHESTER EAST 
GEODPMF,12940, PICTOU COUNTY 
GEODPMF,12958, CAPE BRETON 
GEODPMF,12969, CAPITAL DISTRICT 
GEODPMF,13901, ZONE 1 
GEODPMF,13902, ZONE 2 
GEODPMF,13903, ZONE 3 
GEODPMF,13904, ZONES 4 AND 5 
GEODPMF,13906, ZONES 6 AND 7 
GEODPMF,24901," RÉG BAS-ST LAUR, "
GEODPMF,24902, RÉG. SAGUENAY 
GEODPMF,24903, RÉG. CAP. NAT. 
GEODPMF,24904, RÉG. MAURICIE 
GEODPMF,24905, RÉG. ESTRIE 
GEODPMF,24906, RÉG.MONTREAL 
GEODPMF,24907, RÉG. OUTAOUAIS 
GEODPMF,24908, RÉG. ABITIBI 
GEODPMF,24909, RÉG. COTE-NORD 
GEODPMF,24911, RÉG. GASPÉSIE 
GEODPMF,24912, RÉG. LA CHAUD. 
GEODPMF,24913, RÉGION DE LAVAL 
GEODPMF,24914, RÉG. LANAUDIAIRE 
GEODPMF,24915, RÉG. DES LAUREN. 
GEODPMF,24916, RÉG. MONTÉRÉGIE
